title,overview,genres,release_date,runtime,vote_average
The Upturned Glass,"A prominent neurosurgeon relates to his students in medical school a story about an affair he had with a married woman and how, after the affair was over, the woman one day fell out a window and died. The surgeon, suspecting that she was murdered, set out to find her killer--but, instead of turning the suspect over to the police, he planned to take his own revenge on the murderer.","[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",1947-06-17,90.0,7.8
As Good As Dead,"Seeking revenge for the murder of their religious leader, fundamental loyalists kidnap and torture the man they believe responsible, but the ensuing clash of right vs. left ideologies quickly reveals that they may have the wrong man, which puts them on a path toward a shocking twist","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",2010-01-25,100.0,4.9
Up 'n' Under,The Cobblers Arms have been the best and most feared Amateur Rugby League team for the past ten years. Ex-pro Arthur bets their boss that he could train a bunch of deadbeats to defeat them in a local rugby sevens tournament. But to do so he must first get them into shape with the help of the very attractive Hazel Scott.,"[{'id': 35, 'name': 'Comedy'}]",1998-01-23,0.0,5.6
Tale of Tales,"A fantasy film with horror elements, ""The Tale of Tales"" is loosely inspired by the 17th century collection of fairy tales of the same name by Italian writer Giambattista Basile.","[{'id': 10749, 'name': 'Romance'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",2015-05-14,125.0,6.1
"A Genius, Two Friends, and an Idiot","Three rogues set out to rob $300,000 from an Indian-hating cavalry major.","[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",1975-12-16,117.0,6.6
Lymelife,"A coming of age dramedy where infidelity, real estate, and Lyme disease have two families falling apart on Long Island in the early eighties. Scott, 15, is at the point in his life when he finds out that the most important people around him, his father, his mother, and his brother, are not exactly who he thought they were. They are flawed and they are human.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",2008-09-08,95.0,6.4
Call Me Crazy: A Five Film,A psychotherapist helps a law student cope with schizophrenia in one of five interconnected tales dealing with mental illness.,"[{'id': 18, 'name': 'Drama'}]",2013-04-20,90.0,6.3
Gay Purr-ee,"Mouser Jaone Tom and housecat Mewsette are living in the French country side, but Mewsette wants to experience the refinement and excitement of the Paris living. But upon arrival she falls into the clutches of Meowrice. Jaune Tom and his friend Robespierre set off to Paris to find her.","[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}]",1962-10-24,85.0,6.4
Marvel One-Shot: Item 47,"Benny and Claire, a down on their luck couple find a discarded Chitauri gun, referred to as 'Item 47'...","[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",2012-09-13,12.0,6.6
The Inner Circle,"The true story of Ivan Sanchin, the KGB officer who was Stalin's private film projectionist from 1939 until the dictator's death. Told from Sanchin's view, the sympathetic but tragically flawed hero maintains unwavering faith in his ""Master"" despite the arrest of his neighbors and his involvement with their daughter, his wife's affair with the chilling State Security chief Lavrentii Beria and her tragic decline, and the deadly political machinations within the Kremlin he witnesses firsthand. Written by Martin H. Booda","[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",1991-12-25,137.0,4.9
"Goke, Body Snatcher from Hell",The survivors of a plane crash in a remote area are attacked by blob-like alien creatures that turn their victims into blood-thirsty vampires.,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1968-08-14,84.0,7.2
Red Dust,"Stretching across the canvas of the Sino-Japanese War of the 30s, the subsequent Japanese surrender in 1945, and the onslaught of Communism, this film depicts an ill-fated romance between a talented lady novelist and a Chinese traitor working with the Japanese who fall victim to the mayhem of war and their tragic inability to reconcile political differences.","[{'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",1990-11-23,94.0,5.5
Late Night Shopping,"Four friends Sean, Vincent, Lenny and Jody find themselves at something of a deadend. Trapped in a twilight world of permanent night shift work, they hang out together in the local cafe, drinking coffee and entertaining themselves by observing Vincent's unwavering success in pulling women. There seems to be little prospect of change...until Vincent accidently sleeps with Sean's girlfriend.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",2001-06-22,91.0,6.3
The Coca-Cola Kid,"An eccentric marketing guru visits a Coca-Cola subsidiary in Australia to try and increase market penetration. He finds zero penetration in a valley owned by an old man who makes his own soft drinks, and visits the valley to see why. After ""the Kid's"" persistence is tested he's given a tour of the man's plant, and they begin talking of a joint venture. Things get more complicated when the Coca-Cola man begins falling in love with his temporary secretary, who seems to have connections to the valley.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1985-07-14,98.0,5.8
Steven Wright: When the Leaves Blow Away,"Dry, wry and hilariously deadpan, Steven Wright unleashes a torrent of ironic and hysterical thought-provoking one-liners in the quirky stand-up style that has become his trademark. From Toronto's historic Elgin Theater, this Oscar-winning comedian keeps an adoring audience in stitches with random observations on everything from baby monitors as a form of wiretapping to his addiction to placebos.","[{'id': 35, 'name': 'Comedy'}]",2006-10-21,78.0,5.6
